accident_id,city,date,time,day_of_week,location,latitude,longitude,road_type,vehicle_type,weather,light_condition,accident_severity,num_vehicles_involved,num_casualties,speed_limit,traffic_density,weather_temp_c,risk_score,cluster_zone
1,Chennai,2024-04-27,20:26,Saturday,OMR,-1.5642636462102295,0.7212781788002254,3,4,0,0,Minor,-1.2040067457267911,0,1.5270057603892306,0,-0.3690888442337036,0.58,3
2,Chennai,2024-01-06,13:01,Friday,Velachery Main Road,-0.1412157446929488,0.4795907269802173,3,4,0,0,Serious,0.0105259500298911,2,0.1692650131551784,1,-0.6757919956035805,0.27,1
3,Chennai,2025-09-04,13:37,Saturday,Anna Salai,0.8826963374774298,0.9316292764301506,1,4,3,2,Minor,1.2250586457865735,0,-0.5096053604618477,1,1.1644269126156834,0.64,4
4,Chennai,2025-09-13,16:04,Wednesday,GST Road,-1.0111518976700289,-1.7801523982884588,2,4,0,0,Minor,1.2250586457865735,5,0.1692650131551784,0,0.4147080981559833,0.63,2
5,Chennai,2024-10-22,23:15,Monday,Velachery Main Road,-0.1268306682192188,0.5004149286622077,3,4,3,1,Minor,0.0105259500298911,1,1.5270057603892306,0,-0.3690888442337036,1.0,1
6,Chennai,2024-03-02,3:18,Friday,Poonamallee High Road,1.0612078760962511,-0.8646206491066044,3,4,2,0,Fatal,-1.2040067457267911,1,-1.188475734078874,0,1.0281144008957384,0.61,0
7,Chennai,2024-02-20,17:07,Saturday,Arcot Road,0.5769107159986123,0.2797118854256413,1,1,0,0,Minor,-1.2040067457267911,1,-0.5096053604618477,2,-0.0964638207938123,0.16,5
8,Chennai,2024-05-29,12:00,Monday,Velachery Main Road,-0.1078213785828383,0.644443702513494,1,2,0,2,Serious,1.2250586457865735,0,-1.188475734078874,2,-0.0623856928638266,0.36,1
9,Chennai,2024-01-07,11:08,Friday,GST Road,-1.0286304091463718,-1.898165722828065,0,4,3,1,Minor,1.2250586457865735,1,1.5270057603892306,2,-1.52774519385324,0.82,2
10,Chennai,2025-03-22,13:08,Wednesday,Poonamallee High Road,1.039255363559498,-0.7161039329473109,1,2,3,2,Minor,-1.2040067457267911,2,0.1692650131551784,0,-0.8121045073235268,0.79,0
11,Chennai,2023-12-08,21:24,Friday,GST Road,-0.9312591641500952,-1.9040603725312015,2,3,0,1,Minor,-1.2040067457267911,0,-0.5096053604618477,2,0.8577237612458065,0.42,2
12,Chennai,2023-11-29,16:44,Wednesday,Velachery Main Road,-0.1235065993904361,0.5840264196506585,3,4,3,1,Serious,-1.2040067457267911,1,1.5270057603892306,1,-0.1986982045837717,0.65,1
13,Chennai,2025-01-31,17:41,Thursday,Arcot Road,0.613444588708895,0.2109956547625862,0,2,3,2,Minor,1.2250586457865735,0,0.1692650131551784,0,-0.1986982045837717,0.78,5
14,Chennai,2024-12-24,11:07,Friday,OMR,-1.6312247367082278,0.6162389532069684,3,4,3,2,Minor,-1.2040067457267911,3,-1.188475734078874,2,1.3348175522656154,0.86,3
15,Chennai,2024-06-04,17:51,Saturday,OMR,-1.588656588284551,0.8320913401715018,3,4,2,0,Minor,1.2250586457865735,0,-1.188475734078874,2,-0.471323228023663,0.41,3
16,Chennai,2024-10-09,16:03,Sunday,Poonamallee High Road,1.0581148054433636,-0.8366880506125837,3,4,3,1,Minor,1.2250586457865735,0,0.1692650131551784,0,0.2443174585060514,1.0,0
17,Chennai,2025-05-15,17:19,Monday,Velachery Main Road,-0.1853139888321339,0.5715423622953838,2,2,0,1,Minor,0.0105259500298911,1,0.1692650131551784,1,-0.8121045073235268,0.35,1
18,Chennai,2024-11-18,23:30,Tuesday,OMR,-1.550390310568292,0.8265165787930487,1,4,0,0,Fatal,0.0105259500298911,3,-0.5096053604618477,2,0.1080049467861052,0.44,3
19,Chennai,2025-05-25,12:51,Sunday,OMR,-1.6719869465491703,0.7418962497486656,0,4,0,0,Minor,0.0105259500298911,1,1.5270057603892306,0,-0.4372451000936761,0.61,3
20,Chennai,2024-10-08,10:44,Tuesday,Poonamallee High Road,1.0436022170021872,-0.8228483368254482,2,2,0,1,Serious,0.0105259500298911,1,1.5270057603892306,2,-1.186963914553376,0.45,0
21,Chennai,2023-11-17,23:29,Thursday,Poonamallee High Road,1.048979660722165,-0.7660712530854846,3,2,3,0,Serious,1.2250586457865735,1,-0.5096053604618477,0,1.0621925288257252,0.63,0
